Capability,Phase,Microsoft Sentinel,Microsoft Entra,Okta,Guardicore,Microsoft Purview,Zscaler Internet Access (ZIA),Wiz.io,Cisco Firewall (ASA/NGFW),Palo Alto Firewall,Rapid7 InsightVM,SentinelOne,Microsoft DNS,Proofpoint
Establish Ability to Analyze File Hash (C1317),Preparation,x,,,x,x,,x,,,,x,,
Establish Ability to Find Processes by Path (C1402),Preparation,x,,,,,,,,,,x,,
Establish Ability to Block User External Communication (C1119),Preparation,x,x,,x,,x,,,,,,,x
Training (C1002),Preparation,x,,,,,,,,,,,,
Establish Ability to List Files Created (C1301),Preparation,x,x,,x,x,,x,,,,x,,
Establish Ability to Block External Domains (C1113),Preparation,x,x,,x,,x,,,,,,x,
Establish Ability to List Files Modified (C1302),Preparation,x,x,,x,x,,x,,,,x,,
Access Internal Packet Capture Data (C1109),Preparation,x,x,,x,x,x,x,x,x,x,x,,
Manage Remote Computer System Policies (C1501),Preparation,,x,,,,,,,,,,,
Establish Ability to Analyze User Agent (C1127),Preparation,x,x,,x,x,,x,,,,x,,
Access Internal HTTP Logs (C1103),Preparation,x,x,,x,,x,,x,x,x,x,,
Establish Ability to Block External Ports (C1117),Preparation,x,x,,x,,x,,,,,,,
Establish Ability to Block User Internal Communication (C1120),Preparation,x,x,,x,,x,,,,,,,x
Access External Flow Logs (C1101),Preparation,x,x,,,,x,,x,x,x,,,x
Establish Ability to List Registry Keys Created (C1505),Preparation,x,,,,,,,,,,x,,
Establish Ability to Lock User Account (C1602),Preparation,,x,,,x,,x,,,,,,
Establish Ability to List Firewall Rules (C1128),Preparation,,,,,,,,,,x,,,
Establish Ability to Identify Data Transferred (C1125),Preparation,x,,,,x,,x,,,x,,,
Establish a Communication Map (C1007),Preparation,x,x,,,,,,,,x,x,,x
Establish Centralized Long-term Log Storage (C1006),Preparation,x,,,,x,,x,,,,,,
Establish Ability to Block Internal IP Addresses (C1112),Preparation,x,x,,,,x,,,,,,,x
Establish Ability to Find File by Content Pattern (C1310),Preparation,x,x,,,x,,x,,,x,x,,
Establish Ability to Find File by Format (C1309),Preparation,x,,,,x,,x,,,x,x,,
Establish Ability to Analyze Windows PE (C1318),Preparation,x,,,,,,,,,,x,,
Access External DNS Logs (C1106),Preparation,x,,,,,x,,x,x,,x,x,x
Establish Ability to Analyze Unix ELF (C1320),Preparation,x,,,,,,,,,,x,,
Establish Ability to Analyze macOS Mach-O (C1319),Preparation,x,,,,,,,,,,x,,
Establish Ability to Quarantine File by Hash (C1313),Preparation,,,,,,,,,,,x,,x
Establish Ability to Delete Email Message (C1205),Preparation,,,,,,,,,,,x,,x
Access Vulnerability Management System Logs (C1013),Preparation,x,,,,,,,,,x,x,,
Establish Ability to Find File by Metadata (C1307),Preparation,,,,,,,,,,,,,
Establish Ability to Block Processes by Metadata (C1408),Preparation,x,,,,,x,,,,,,,
Establish Ability to Remove Registry Key (C1509),Preparation,,,,,,,,,,,,,
Establish Ability to Remove User Account (C1605),Preparation,,,,,,,,,,,,,
Establish Ability to List Registry Keys Deleted (C1503),Preparation,x,,,,,,,,,,,,
Establish Ability to Block External IP Addresses (C1111),Preparation,x,,,,,,,,,,,,
Establish Ability to List Services Modified (C1507),Preparation,,,,,,,,,,,,,
Establish Ability to Block External URLs (C1115),Preparation,x,,,,,,,,,,,,
Establish Ability to Revoke Auth Credentials (C1604),Preparation,,,,,,,,,,,,,
Establish Ability to Remove Service (C1510),Preparation,,,,,,,,,,,,,
Establish Ability to Quarantine File by Content Pattern (C1315),Preparation,,,,,,,,,,,,,
Establish Ability to Block Processes by Hash (C1409),Preparation,x,,,,,,,,,,,,
Establish Ability to Find Transferred Data by Content Pattern (C1121),Preparation,x,,,,,,,,,,,,
Establish Ability to List Data Transferred (C1123),Preparation,x,,,,,,,,,,,,
Establish Ability to Block Processes by Content Pattern (C1411),Preparation,x,,,,,,,,,,,,
Establish Ability to Block Internal URLs (C1116),Preparation,x,,,,,,,,,,,,
Establish Ability to List Processes Executed (C1401),Preparation,x,,,,,,,,,,,,
Establish Access to Access Control Matrices (C1010),Preparation,,,,,,,,,,,,,
Establish Ability to List Registry Keys Accessed (C1504),Preparation,,,,,,,,,,,,,
